call_a,call_b,talkgroupRef,delta_ms,received_a,received_b
528,530,51752,634.1,2026-04-15 09:18:06.783051-04,2026-04-15 09:18:07.417113-04
527,529,51530,737.3,2026-04-15 09:18:06.205435-04,2026-04-15 09:18:06.942777-04
524,525,51752,579.9,2026-04-15 09:17:55.061613-04,2026-04-15 09:17:55.641506-04
519,520,51752,406.0,2026-04-15 09:17:52.12746-04,2026-04-15 09:17:52.53346-04
508,509,51541,811.8,2026-04-15 09:17:01.038612-04,2026-04-15 09:17:01.850381-04
486,487,51541,4.5,2026-04-15 09:16:30.008001-04,2026-04-15 09:16:30.012454-04
482,484,51541,448.0,2026-04-15 09:16:27.61158-04,2026-04-15 09:16:28.059629-04
478,481,51591,957.0,2026-04-15 09:16:22.135004-04,2026-04-15 09:16:23.092032-04
477,479,51541,526.6,2026-04-15 09:16:22.111306-04,2026-04-15 09:16:22.637884-04
473,474,51541,659.9,2026-04-15 09:16:18.62566-04,2026-04-15 09:16:19.285581-04
471,472,51731,819.0,2026-04-15 09:16:15.649243-04,2026-04-15 09:16:16.468241-04
466,467,51709,897.0,2026-04-15 09:16:09.400396-04,2026-04-15 09:16:10.297384-04
451,452,51727,901.8,2026-04-15 09:15:40.033617-04,2026-04-15 09:15:40.935386-04
443,446,51590,975.8,2026-04-15 09:15:31.227052-04,2026-04-15 09:15:32.202825-04
444,445,51518,251.6,2026-04-15 09:15:31.227001-04,2026-04-15 09:15:31.478577-04
442,443,51590,327.0,2026-04-15 09:15:30.900033-04,2026-04-15 09:15:31.227052-04
417,418,51591,793.3,2026-04-15 09:14:45.844084-04,2026-04-15 09:14:46.637366-04
379,380,51530,649.4,2026-04-15 09:13:23.781189-04,2026-04-15 09:13:24.430619-04
345,346,51518,29.9,2026-04-15 09:11:15.761599-04,2026-04-15 09:11:15.791455-04
336,337,51722,555.9,2026-04-15 09:11:03.582716-04,2026-04-15 09:11:04.138606-04
316,318,51722,906.0,2026-04-15 09:09:43.656498-04,2026-04-15 09:09:44.562477-04
293,295,51518,465.0,2026-04-15 09:08:59.584609-04,2026-04-15 09:09:00.049578-04
287,289,51518,915.9,2026-04-15 09:08:53.394834-04,2026-04-15 09:08:54.31075-04
252,254,51590,112.6,2026-04-15 09:07:16.065926-04,2026-04-15 09:07:16.178514-04
251,253,51518,552.5,2026-04-15 09:07:15.51373-04,2026-04-15 09:07:16.066265-04
250,252,51590,956.5,2026-04-15 09:07:15.109386-04,2026-04-15 09:07:16.065926-04
249,251,51518,407.3,2026-04-15 09:07:15.106448-04,2026-04-15 09:07:15.51373-04
244,245,51518,8.4,2026-04-15 09:07:05.965322-04,2026-04-15 09:07:05.973713-04
243,244,51518,271.2,2026-04-15 09:07:05.694092-04,2026-04-15 09:07:05.965322-04
236,237,51722,63.6,2026-04-15 09:06:43.719852-04,2026-04-15 09:06:43.78349-04
234,236,51722,148.0,2026-04-15 09:06:43.571843-04,2026-04-15 09:06:43.719852-04
206,207,51722,464.2,2026-04-15 09:06:04.63348-04,2026-04-15 09:06:05.097643-04
195,197,51518,378.6,2026-04-15 09:04:15.580637-04,2026-04-15 09:04:15.95921-04
194,196,51590,403.5,2026-04-15 09:04:15.177103-04,2026-04-15 09:04:15.580647-04
191,193,51518,387.6,2026-04-15 09:04:14.053704-04,2026-04-15 09:04:14.441332-04
187,188,51518,329.1,2026-04-15 09:04:11.626128-04,2026-04-15 09:04:11.955251-04
169,170,51752,404.6,2026-04-15 09:03:07.549564-04,2026-04-15 09:03:07.954152-04
167,168,51752,673.8,2026-04-15 09:03:05.11733-04,2026-04-15 09:03:05.791119-04
164,165,51752,429.9,2026-04-15 09:03:00.057003-04,2026-04-15 09:03:00.486888-04
162,163,51752,453.1,2026-04-15 09:02:57.22966-04,2026-04-15 09:02:57.682802-04
154,157,51760,974.2,2026-04-15 09:02:39.468124-04,2026-04-15 09:02:40.442354-04
155,156,51560,946.4,2026-04-15 09:02:39.492033-04,2026-04-15 09:02:40.43843-04
112,114,51518,385.9,2026-04-15 09:01:24.04568-04,2026-04-15 09:01:24.431587-04
99,102,51518,364.7,2026-04-15 09:01:08.579818-04,2026-04-15 09:01:08.944567-04
96,97,51518,382.2,2026-04-15 09:01:05.092845-04,2026-04-15 09:01:05.475041-04
90,92,51518,514.9,2026-04-15 09:00:52.921906-04,2026-04-15 09:00:53.436766-04
88,91,51590,411.4,2026-04-15 09:00:52.631957-04,2026-04-15 09:00:53.043394-04
87,90,51518,828.8,2026-04-15 09:00:52.093071-04,2026-04-15 09:00:52.921906-04
85,88,51590,856.1,2026-04-15 09:00:51.775865-04,2026-04-15 09:00:52.631957-04
86,87,51518,310.1,2026-04-15 09:00:51.782982-04,2026-04-15 09:00:52.093071-04
72,75,51590,908.6,2026-04-15 09:00:38.149112-04,2026-04-15 09:00:39.057693-04
71,74,51518,854.8,2026-04-15 09:00:38.103324-04,2026-04-15 09:00:38.958095-04
40,41,51518,512.8,2026-04-15 08:59:56.997405-04,2026-04-15 08:59:57.510235-04
33,34,51518,550.3,2026-04-15 08:59:45.467939-04,2026-04-15 08:59:46.018215-04
28,29,51518,847.8,2026-04-15 08:59:41.597857-04,2026-04-15 08:59:42.445624-04
12,13,51518,332.1,2026-04-15 08:59:12.614147-04,2026-04-15 08:59:12.946278-04
5,11,51514,863.9,2026-04-15 08:59:07.845927-04,2026-04-15 08:59:08.709868-04
9,10,51590,839.1,2026-04-15 08:59:07.864122-04,2026-04-15 08:59:08.703227-04
7,9,51590,14.8,2026-04-15 08:59:07.849357-04,2026-04-15 08:59:07.864122-04
4,5,51514,49.8,2026-04-15 08:59:07.796166-04,2026-04-15 08:59:07.845927-04
2,3,51518,33.4,2026-04-15 08:59:07.744318-04,2026-04-15 08:59:07.777741-04
1,2,51518,12.5,2026-04-15 08:59:07.731836-04,2026-04-15 08:59:07.744318-04
